S.No,HallTicket-No,Branch,M-II,CE,AP,PSP,DLD,CE-LAB,AP-LAB,PSP-LAB,ES,LS-2,SGPA,CGPA
164,21BQ1A05G5,CSE,B,B,A,C,C,A,A,A+,COMPLETED,COMPLETED,8.15,8.31
165,21BQ1A05G6,CSE,A+,A+,A,A,A,A+,A+,A+,COMPLETED,COMPLETED,9.54,9.54
166,21BQ1A05G7,CSE,A+,A,A+,B,B,A+,A+,A+,COMPLETED,COMPLETED,9.23,9.38
167,21BQ1A05G8,CSE,A+,A,A+,B,B,A+,A+,A+,COMPLETED,COMPLETED,9.23,9.12
168,21BQ1A05G9,CSE,A+,A,B,C,C,A+,A+,A+,COMPLETED,COMPLETED,8.62,8.69
169,21BQ1A05H0,CSE,A+,A,A+,B,B,A+,A+,A+,COMPLETED,COMPLETED,9.23,9.15
170,21BQ1A05H1,CSE,C,B,A,D,D,A,B,A,COMPLETED,COMPLETED,7.54,7.5
171,21BQ1A05H2,CSE,A,A,A,C,D,A+,A+,A+,COMPLETED,COMPLETED,8.46,8.77
172,21BQ1A05H3,CSE,D,C,C,D,E,B,A,A+,COMPLETED,COMPLETED,6.85,6.27
173,21BQ1A05H4,CSE,B,A,A,C,C,A,A+,A+,COMPLETED,COMPLETED,8.38,8.27
174,21BQ1A05H5,CSE,C,B,B,E,E,B,A,A+,COMPLETED,COMPLETED,7.15,7.15
175,21BQ1A05H6,CSE,A+,B,A+,C,D,A+,A+,A+,COMPLETED,COMPLETED,8.62,8.65
176,21BQ1A05H7,CSE,A,B,C,D,E,A,A+,A+,COMPLETED,COMPLETED,7.62,7.54
177,21BQ1A05H8,CSE,A+,B,A,C,C,A+,A,A+,COMPLETED,COMPLETED,8.54,8.58
178,21BQ1A05H9,CSE,B,C,C,D,F,A,A,A+,COMPLETED,COMPLETED,6.46,7.12
179,21BQ1A05I0,CSE,A+,A,A,B,A,A+,A+,A+,COMPLETED,COMPLETED,9.23,9.23
180,21BQ1A05I1,CSE,C,B,D,D,F,A,A,A+,COMPLETED,COMPLETED,6.31,6.73
181,21BQ1A05I2,CSE,A+,C,A+,B,B,A+,A+,A+,COMPLETED,COMPLETED,8.92,8.77
182,21BQ1A05I3,CSE,A+,C,A,C,A,A+,A+,A+,COMPLETED,COMPLETED,8.77,8.77
183,21BQ1A05I4,CSE,B,C,B,D,C,A,A,A,COMPLETED,COMPLETED,7.62,7.58
184,21BQ1A05I5,CSE,A,B,B,B,D,A+,A,A+,COMPLETED,COMPLETED,8.23,8.5
185,21BQ1A05I6,CSE,B,D,B,B,D,A+,A+,A+,COMPLETED,COMPLETED,7.85,7.77
186,21BQ1A05I7,CSE,A,C,A+,B,B,A+,A+,A+,COMPLETED,COMPLETED,8.77,8.65
187,21BQ1A05I8,CSE,E,E,F,F,F,B,A+,C,COMPLETED,COMPLETED,3.46,4.19
188,21BQ1A05I9,CSE,A,D,B,D,C,A,A,A+,COMPLETED,COMPLETED,7.69,7.54
189,21BQ1A05J0,CSE,B,C,A,C,C,A+,A+,A+,COMPLETED,COMPLETED,8.15,8.08
190,21BQ1A05J1,CSE,A+,B,A,A,A,A+,A+,A+,COMPLETED,COMPLETED,9.23,9.23
191,21BQ1A05J2,CSE,A,B,B,C,B,A,A,A+,COMPLETED,COMPLETED,8.31,8.31
192,21BQ1A05J3,CSE,A,C,A,C,C,A,A+,A+,COMPLETED,COMPLETED,8.23,8.58
193,21BQ1A05J4,CSE,A+,C,A+,A,B,A,A+,A+,COMPLETED,COMPLETED,9.0,9.27
194,21BQ1A05J5,CSE,A,C,A,B,B,A,A+,A+,COMPLETED,COMPLETED,8.54,8.5
195,21BQ1A05J6,CSE,A,B,A+,B,C,A,A+,A+,COMPLETED,COMPLETED,8.69,8.69
196,21BQ1A05J7,CSE,A,C,A+,B,C,A,A+,A+,COMPLETED,COMPLETED,8.54,8.54
197,21BQ1A05J8,CSE,B,C,B,B,D,A,A,A+,COMPLETED,COMPLETED,7.85,8.08
