S.No,HallTicket-No,Branch,M-II,CE,AP,PSP,DLD,CE-LAB,AP-LAB,PSP-LAB,ES,LS-2,SGPA,CGPA
88,21BQ1A0589,CSE,F,F,F,E,F,B,B,D,COMPLETED,COMPLETED,2.46,3.46
89,21BQ1A0590,CSE,F,D,F,F,F,B,B,A,COMPLETED,COMPLETED,2.85,3.27
90,21BQ1A0591,CSE,A,D,B,D,C,B,A,A,COMPLETED,COMPLETED,7.54,7.65
91,21BQ1A0592,CSE,A,D,A+,E,B,A,A,A+,COMPLETED,COMPLETED,8.0,8.15
92,21BQ1A0593,CSE,A+,B,A,D,B,A,A+,A+,COMPLETED,COMPLETED,8.54,8.62
93,21BQ1A0594,CSE,A+,B,A+,A,B,A+,A+,A+,COMPLETED,COMPLETED,9.23,9.27
94,21BQ1A0595,CSE,A,C,A+,A,F,A+,A+,A+,COMPLETED,COMPLETED,7.69,8.12
95,21BQ1A0596,CSE,A,C,A,D,D,B,A+,B,COMPLETED,COMPLETED,7.69,7.19
96,21BQ1A0597,CSE,A,C,A,B,C,A,A+,A+,COMPLETED,COMPLETED,8.38,8.5
97,21BQ1A0598,CSE,A+,C,A,D,C,A+,A+,A+,COMPLETED,COMPLETED,8.31,8.77
98,21BQ1A0599,CSE,B,D,A,D,C,A,A+,A+,COMPLETED,COMPLETED,7.77,8.12
99,21BQ1A05A0,CSE,B,B,B,D,E,A,A,A+,COMPLETED,COMPLETED,7.54,7.5
100,21BQ1A05A1,CSE,B,B,A,B,C,A,A+,A+,COMPLETED,COMPLETED,8.38,8.58
101,21BQ1A05A2,CSE,A+,B,A,B,C,A+,A+,A+,COMPLETED,COMPLETED,8.77,8.85
102,21BQ1A05A3,CSE,C,D,F,D,E,A,A+,A+,COMPLETED,COMPLETED,5.92,7.12
103,21BQ1A05A4,CSE,B,D,E,F,D,B,A,C,COMPLETED,COMPLETED,5.69,5.81
104,21BQ1A05A5,CSE,A,A,A,B,A,A+,A+,A+,COMPLETED,COMPLETED,9.08,8.92
105,21BQ1A05A6,CSE,A+,B,A+,B,A,A+,A+,A+,COMPLETED,COMPLETED,9.23,9.38
106,21BQ1A05A7,CSE,A,B,B,B,A,A+,A,A+,COMPLETED,COMPLETED,8.69,8.73
107,21BQ1A05A8,CSE,B,B,A,D,C,A,A+,A+,COMPLETED,COMPLETED,8.08,8.0
108,21BQ1A05A9,CSE,A+,B,A,B,B,A+,A+,A+,COMPLETED,COMPLETED,8.92,8.62
